BreedName,MaleWtKg,AnnualExpense_Lower,Shedding,Vocality,FriendPets,FriendChild,GroomingReq,AttentionReq,Docility,ActivityLevel
Persian,6,"1,272",5,1,4,4,5,4,5,1
Maine Coon,7,"1,150",4,1,4,4,4,3,4,3
Ragdoll,7,"2,160",4,2,4,4,4,2,5,2
British Shorthair,7,"1,270",3,2,4,4,2,1,4,2
American Shorthair,6,"1,270",3,1,4,4,3,4,2,4
Abyssinian,4,"1,075",3,1,3,2,2,4,1,5
Siamese,6,"1,270",2,5,3,2,1,5,1,4
Scottish Fold,4,"1,270",3,1,3,3,3,3,4,2
Cornish Rex,3,300,2,1,2,2,1,5,1,5
Tonkinese,5,700,2,4,4,4,1,4,3,5
